Day,January,February,March,April,May,June,July,August,September,October,November,December
1,131,141,159,,,,,,,,,
2,94,107,144,,,,,,,,,
3,98,105,112,,,,,,,,,
4,117,167,110,,,,,,,,,
5,122,114,104,,,,,,,,,
6,173,124,84,,,,,,,,,
7,231,91,103,,,,,,,,,
8,117,112,92,,,,,,,,,
9,141,131,106,,,,,,,,,
10,155,189,105,,,,,,,,,
11,219,167,152,,,,,,,,,
12,225,123,160,,,,,,,,,
13,193,81,150,,,,,,,,,
14,130,100,178,,,,,,,,,
15,193,117,111,,,,,,,,,
16,243,124,116,,,,,,,,,
17,170,122,114,,,,,,,,,
18,113,124,97,,,,,,,,,
19,94,128,113,,,,,,,,,
20,112,127,85,,,,,,,,,
21,140,81,87,,,,,,,,,
22,144,80,115,,,,,,,,,
23,171,94,134,,,,,,,,,
24,220,92,98,,,,,,,,,
25,120,98,141,,,,,,,,,
26,150,109,172,,,,,,,,,
27,148,100,158,,,,,,,,,
28,123,126,124,,,,,,,,,
29,164,,118,,,,,,,,,
30,177,,140,,,,,,,,,
31,126,,158,,,,,,,,,
 ,,,,,,,,,,,,
Good,,,,,,,,,,,,
Satisfactory,3,9,6,,,,,,,,,
Moderate,23,19,25,,,,,,,,,
Poor,5,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,,,,,,,,
